BACK_VIEW_ MESH______ new_s1_back6	        -2000.0,  0.0, 2000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_HALFSHA new_s8_wool	       29000.0,  0.0, -200.0,   0.0,   90.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_HALFSHA new_s8_wool	       29000.0,  0.0, -200.0,   0.0,   90.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_HALFSHA new_s8_wool	       29000.0,  0.0, -200.0,   0.0,   90.0,   0.0,   1.0,   1.0,


VIEW_HIT__ SO_HALFSHA new_s7_doortest		   42050.0,  0.0,    0.0,   0.0,   90.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_COMP___ new_s8_gate		   42000.0,  0.0,     0.0,   0.0,  0.0,   0.0,   1.0,   1.0,
VIEW_HIT__ SO_COMP___ new_s7_hashira		   42000.0,  0.0,  1500.0,   0.0,   0.0,   0.0,   1.0,   1.0,




END_______
